Institute code,College Name,Fees,GOVERNMENT/PRIVATE,Location,Computer_ CET_cuttoff ,Computer_JEE_cuttoff ,GENERAL_cuttoff,OBC_cuttoffs,SC/ST_cuttoff,EWS_cuttoffs,Quota(management)(yes/no),Intakes(seats),Placement   (on_campus)(yes/no),college_hostels_available,Academic rating (out of 5),Faculty rating(out of 5),Infrastructure rating (out of 5),accomodation rating (out of 5),Placement rating (out of 5),Overall rating (out of 10)
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",80000,                        Private," Sukhalwad, Sindhudurg, Maharashtra, India",75,50,75,70,60,70,yes,60,yes,yes,,3,3,,2,
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",80000,Private,"Kokamthan, Ahmednagar, Maharashtra, India",80,50,75,70,60,75,yes,60,yes,yes,,3,3,,2,
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",90000,Private,"G.M.Vedak Institute of Technology, Tala, Raigad.",85,45,70,65,55,65,yes,60,yes,yes,,3,3,,1.5,
3460,"Universal College of Engineering,Kaman Dist. Palghar",125000,Private,"Kaman, Dist. Palghar, Maharashtra",65,65,65,60,55,65,Yes,60,Yes,No,,30,30,,2.75,
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",100000,Private,"Velneshwar, Ratnagiri, Maharashtra",70,70,70,65,60,70,Yes,60,Yes,Yes,,35,35,,3.25,
3465,"Ideal Institute of Technology, Wada, Dist.Thane",113000,Private,"Wada, Thane, Maharashtra",60,60,60,55,50,60,Yes,60,Yes,Yes,,30,30,,2.5,
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",102000,Private,"Khalapur, Raigad, Maharashtra",70,70,70,65,55,70,Yes,60,Yes,Yes,,37.5,40,,3.5,
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,114000,Private,"Sawantwadi, Sindhudurg, Maharashtra",65,65,65,60,50,65,Yes,60,Yes,Yes,,32.5,35,,3,
3471,"New Horizon Institute of Technology & Management, Thane",304000,Private ,"Thane, Maharashtra",85,76,87.38,78.87,30.58,78.87,Yes,120,Yes,Yes,,4.5,3.5,,2.5,
3475,"A. P. Shah Institute of Technology, Thane",133000,Private ,"Thane, Maharashtra",85,68,77.42,75.9,29,75.3,Yes,120,Yes,No,,4.5,4,,4,
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",60000,Private ,"Panvel, Maharashtra
",85,72,82,73.64,36.03,62.73,Yes,120,Yes,Yes,,4,3,,5,
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",85000,Private ,,85,59,70.63,52.24,38.9,71.36,Yes,120,Yes,No,,4,3,,3,
4004,"Government College of Engineering, Chandrapur",25095,Government,"Chandrapur, Maharashtra
",85,,85.19,86.01,49.05,86.05,No,60,Yes,No,,4.5,4.5,,4.75,
4005,"Laxminarayan Institute of Technology, Nagpur",115000,Autonomous,"Nagpur, Maharashtra
",85,,87.93,89.72,65.42,84.51,Yes,120,Yes,Yes,,4,4,,4,
4025,"Government College of Engineering, Nagpur",27836,Government,"Nagpur, Maharashtra
",85,,95.69,95.27,88.07,93.09,No,60,Yes,No,,4,4.5,,4.5,
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",103000,Private ,"Nagpur, Maharashtra
",85,72.67,74.8,65.04,44.48,69.7,Yes,120,Yes,Yes,,4.5,3.5,,4.5,
4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur",609000,Autonomous,"Nagpur, Maharashtra
",85,92.99,98.07,98.07,98.07,98.07,Yes,120,Yes,Yes,,3.5,4,,3.5,
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",139000,Autonomous,"Nagpur, Maharashtra
",85,82.8,92.8,90.87,75.6,92.85,Yes,120,Yes,Yes,,4,4.5,,4,
4118,"Bapurao Deshmukh College of Engineering, Sevagram",107000,Un-Aided,"Sevagram,Wardha,Maharashtra ",80,76.56,83.6,66.71,51.77,74.12,yes,108,yes,yes,,4,3.5,,2.5,
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",74000,"Un-Aided, Autonomous, Linguistic Minority - Hindi","Nagpur,Maharashtra",87,83.32,85.93,83.66,73.45,84.6,yes,60,yes,yes,,3.5,4,,4,
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",79000,Un-Aided,"Nagpur,NMaharashtra",85,82.67,91.34,69.2,67.4,79.56,yes,60,yes,yes,,4,3.5,,3,
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",61500,Un-Aided,"Nagpur,Maharashtra",71.72,69.97,,,,,,,,yes,,4,,,,
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",108000,Un-Aided,"Nagpur,Maharashtra",85,,,,,,,,,,,,,,,
4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",108000,"Un-Aided, Autonomous, Linguistic Minority - Hindi",360,85,81,82,76,,82,yes,120,yes,yes,,3.5,3,,3.75,
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",113500,"Un-Aided, Autonomous, Linguistic Minority - Hindi",420,85,68,76,68,44,84,yes,69,yes,yes,,35,30,,3.25,
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",150000,"Un-Aided, Autonomous, Linguistic Minority - Hindi",480,85,79,84,83,81,,yes,120,yes,yes',,35,37.5,,3.5,
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",110000,"Un-Aided, Autonomous, Linguistic Minority - Sindhi",420,85,68,60,,,,yes,150,yes,yes,,30,32.5,,3,
4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",46701,Un-Aided,240,85,,17,3,0.85,8,yes,120,yes,yes,,25,22.5,,1.5,
4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",100000,"Un-Aided, Autonomous, Linguistic Minority - Hindi",240,85,85,85,85,85,85,yes,60,85,yes,,4.25,4.25,,4.25,
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",90000,Un-Aided,"Bhandara, Maharashtra",85,45,70,60,60,60,yes,120,60,yes,,3,3,,3,
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",85000,Un-Aided,"Nagpur, Maharashtra",85,50,75,65,60,65,Yes,120,Yes,Yes,,3,3.25,,2.75,
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",110000,Un-Aided,"Dongargaon, Nagpur, Maharashtra",85,55,80,70,55,70,Yes,120,Yes,Yes,,3.25,3.5,,3.25,
4147,"K.D.K. College of Engineering, Nagpur",95000,Un-Aided,"Nagpur, Maharashtra",85,50,75,65,55,65,Yes,120,Yes,Yes,,3.5,3.5,,3.25,
4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",120000,"Un-Aided, Autonomous","Nagpur, Maharashtra",85,45,75,65,55,65,Yes,120,Yes,Yes,,3.25,3.5,,2.75,
4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,75000,Un-Aided,"Chandrapur, Maharashtra",85,45,70,55,45,55,Yes,120,Yes,Yes,,3,3.25,,2.75,
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",90000,"Un-Aided, Autonomous","Wanadongri, Nagpur, Maharashtra",85,50,75,70,60,75,Yes,120,Yes,Yes,,3.25,3.5,,3.5,
4172,"Anjuman College of Engineering & Technology, Nagpur",100000,"Un-Aided, Religious Minority - Muslim","Nagpur, Maharashtra",85,45,75,65,55,65,Yes,120,Yes,Yes,,3,3.25,,3,
4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",80000,"Un-Aided, Autonomous, Religious Minority - Christian","Nagpur, Maharashtra",85,50,65,60,50,55,Yes,120,Yes,Yes,,3.25,3.5,,3,
4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",75000,Un-Aided,"Ramnagar, Bapuji Wadi, Wardha - 442001, Maharashtra, India",80,65,65,65,55,60,yes,120,Yes,Yes,,3.75,3.25,,2.75,
4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",80000,"Un-Aided, Linguistic Minority - Hindi","Harpur Nagar, Umred Road, Nagpur, Maharashtra - 440024",70,75,70,75,55,65,yes,120,Yes,Yes,,4,3.5,,4.1,
4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",100000,Un-Aided," Nagpur Katol Highway Road, Khapri (Kothe), Tal.Kalmeshwar, Nagpur, Maharashtra",60,40,45,45,40,55,yes,60,Yes,Yes,,3.25,3.75,,3,
4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",85000,Un-Aided,"Bamni, Rajura Road,Tal. Ballarpur,
Chandrapur,Maharashtra,india.",90,78,75,65,55,50,yes,120,Yes,Yes,,3.5,3.25,,3.25,
4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",8500,Un-Aided,"Nagpur Road, Near Village Lonara,
Tah. Bhadrawati,",97,82,72,60,50,60,yes,120,Yes,Yes,,4,3.75,,3.25,
4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",73500,Un-Aided,"Behind Railway Station,Wardha Road,
Nagpur - 441108,Maharashtra, India.
",91,80,71,55,45,65,yes,120,Yes,Yes,,4.25,3.75,,3.5,
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",75000,"Un-Aided, Linguistic Minority - Hindi","Mauza-Bhivapur, Umred Road, Nagpur, Maharashtra",88,85,72,50,60,55,yes,120,Yes,Yes,,3.75,3.25,,3,
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",100000,Un-Aided,"Khasara No. 81/1, Mauza- Kalmeshwar,
Post- Koradi, Nagpur - 441111,
Maharashtra, India.",85,88,71,60,45,50,yes,120,Yes,Yes,,3.25,3,,2.75,
4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",80000,Un-Aided,"Sindhi (Meghe), Wardha,
Maharashtra, India.",90,78,79,72,60,45,yes,120,Yes,Yes,,4,3.75,,3,
4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur",55000,Un-Aided,"Dhuti Village, Near Dongargaon, Wardha Road (NH-7) Nagpur",83,77,76,68,55,45,yes,120,Yes,Yes,,3.25,2.5,,2.25,
4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",56000,Un-Aided,Shahapur Bhandara,51,86,66,70,44,69,yes,54,yes,Yes,,3,3,,3.5,
4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",114000,Un-Aided,"Mouje Sukli (Gupchup), Hingna, Nagpur ",88,77,89,88,32,45,yes,66,yes,yes,,4,5,,4,
4613,"Suryodaya College of Engineering & Technology, Nagpur",84000,Un-Aided,"Survey No. 117/1 & 117/3 A, Near Dighori Naka, Vihirgaon, Umrer Road, Nagpur, Maharashtra 440027",71,45,65,86,33,55,yes,71,yes,yes,,4.5,2,,2.5,
4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",112097,Un-Aided,"Mauza Sarangpuri, Arvi -Wardha",91,74,90,71,65,60,yes,55,Yes,yes,,2.5,4,,4.5,
4649,"Bajaj Institute of Technology, Wardha",85000,"Un-Aided, Linguistic Minority - Hindi","Pipri Meghe, Arvi Road, Pipri Meghe, Wardha",84,56,92,50,65,60,yes,55,Yes,yes,,2.5,3.5,,3,
4679,"Karanjekar College of Engineering & Management, Sakoli",75000,Un-Aided,"Nagzira Road, Sakoli, District Bhandara.",85,85,85,85,85,85,yes,85,Yes,yes,,2,2.5,,4.25,
5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",40000,University Department,"Kavayitri Bahinabai Chaudhari North Maharashtra University, ",54,43,54,63,42,76,yes,76,yes,yes,,3.5,1.5,,3.35,
5004,"Government College of Engineering, Jalgaon",60000,"Government, Autonomous","Jalgaon, Maharashtra",80,60,70,66,56,67,yes,71,yes,yes,,2,3,,3.85,
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",50000,Un-Aided,"Vidyanagri, Deopur, Dhule, Maharashtra",92,88,67,84,76,64,yes,61,yes,yes,,2.5,2,,4.2,
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",419212,"Un-Aided, Autonomous","Nashik,Maharashtra",NaN,,81.97343,80.37445,69.38717,77.03113,yes,180,yes,yes,,4.45,4.85,,,
5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",515000,"Un-Aided, Autonomous","Nashik,Maharashtra",NaN,,93.8419335,93.1639296,84.2234647,92.9348086,yes,120,yes,yes,,4.6,4.05,,4.33,
5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",321360,Un-Aided,"Babulgaon,Maharashtra",NaN,,67.447284,66.2117981,63.7147595,74.51064,yes,60,yes,yes,,4.5,4.45,,,
5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",297000,Un-Aided,"Nashik,Maharashtra",NaN,,72.8974176,69.1685966,68.3772406,69.3871747,yes,120,yes,yes,,4.5,4.45,,1,
5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",240000,Un-Aided,"Jalgaon,Maharashtra",NaN,,75.6049358,74.1753429,54.1664697,63.050238,yes,180,yes,yes,,4.45,4.6,,0,
5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",220000,Un-Aided,"Jalgoan ,Maharashtra",NaN,,59.4192464,57.7165019,37.5478565,39.4196471,yes,120,yes,yes,,,4,,0,
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",410000,Un-Aided,"Nashik,Maharashtra",NaN,,91.2564151,90.524615,87.0240046,88.6475955,yes,180,yes,yes,,4.4,4.55,,3.3,
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",400000,Un-Aided,"Ahmednagar,Maharashtra",NaN,,85.0225065,84.1495823,80.2788844,85.0880607,yes,120,yes,yes,,4.4,4.45,,0,
5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",352000,Un-Aided,"Nashik,Maharashtra",NaN,,87.3244115,86.5576404,70.9263207,83.4797216,yes,120,yes,yes,,4.55,4.8,,3,
5152,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",283000,"Un-Aided, Autonomous, Linguistic Minority - Hindi","Jalgoan,Maharashtra",75.08,,72.15,69.28,61.89,120,Yes,,yes,yes,,3.5,3.5,,3.5,
5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",151805,"Un-Aided, Autonomous","Kopargoan,Maharashtra",95.55,55,89.14,85.45,71.15,85.45,Yes,120,yes,yes,,3.5,3.75,,4,
5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",106000,Un-Aided,"Vilad ghat,Post M.I.D.C.,Ahmednagar",88.63,50.11,88.63,86.97,80.85,85.45,yes,60,yes,yes,,3.5,3.5,,3.5,
5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",81775,Un-Aided,"Sangamner,Ghulewadi,Maharashtra",94.44,65.54,94,91.56,78.88,94.44,yes,120,yes,yes,,3.75,4,,4,
5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",75000,"Un-Aided, Linguistic Minority - Gujar","Shahada,Maharashtra",60.56,40,60,50,40,45,yes,60,yes,yes,,1.9,1.9,,2,
5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",74630,Un-Aided,"Jivram Nagar,Nhavi Marg,Post Faizpur,Yawal,Jalgoan",80.65,50,75.56,72,65,71,yes,120,yes,yes,,3.5,3.75,,3,
5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",60000,Un-Aided,"Nagaon,Dhule",85.55,60,85,80,75,75,yes,60,yes,yes,,3.75,3.5,,3,
5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",70000,"Un-Aided, Linguistic Minority - Hindi","Bhusawal,jalgaon,Maharashtra",80.54,60.28,80.25,70.59,60.54,75.58,yes,60,yes,yes,,3.25,3.25,,3,
5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",85000,Un-Aided,"Jalgaon,Maharashtra",80,70,75,70,60,75,yes,120,yes,yes,,3.25,3.25,,3.5,
5172,"R. C. Patel Institute of Technology, Shirpur",100000,"Un-Aided, Autonomous, Linguistic Minority - Gujarathi","Shirpur,Dhule",90,75,80,80,70,80,yes,60,yes,yes,,3.5,3.5,,4,
5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",85000,"Un-Aided, Religious Minority - Jain","Neminagar,Chandwad,Nashik",80,60,75,70,60.52,70.56,yes,60,yes,yes,,3.25,3.25,,3,
5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",60000,Autonoums," Eklahare, Nashik",80,60,70,65,60.7,65.9,yes,120,yes,yes,,3.75,3.25,,3.5,
5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",50000,Un-aided,"A/P Sarola Baddi, Jamkhed Road,Ahmednagar",60.72,50,58.62,59,23.7,58,yes,60,yes,yes,,3.25,2.75,,2.5,
5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",65000,Un-Aided,"Nashik,Maharashtra",69.04,59.68,68.7,65.3,40.3,65.42,yes,120,yes,yes,,3.75,3.75,,3.75,
5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",210000,Un-Aided,"Trimbakeshwar Road, Nashik",68.5,62.8,64.23,65,40,68.62,yes,60,yes,yes,,3.25,3.25,,2,
5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",2380,Un-Aided,Agaskhind Tal. Sinnar,59.93,50.3,55.64,54.2,42.5,56.2,yes,60,yes,yes,,3.25,2.75,,2.5,
5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",3520,Un-Aided,Adgaon Nashik,81.24,72.6,68.2,68.9,45.23,56.23,yes,120,yes,yes,,,3.75,,3.75,
5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",70000,Un-Aided,"Kashti Shrigondha,",60,50,68,65,62,70,yes,60,yes,yes,,3.25,3,,0.325,
5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",65000,Un-Aided,"Akkalkuwa,Nandurbar",60,52,75,74,62,75,yes,60,yes,no,,3.25,3.25,,2.5,
5330,"PUNE VIDYARTHI GRIHAS COLLEGE OF ENGINEERING AND SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",70000,Un-Aided,"PVG Campus, 206-Dindori road,, Nashik",94.62,17509,89.6,87,75.62,88,yes,120,yes,yes,,4.5,4.5,,4.5,
5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",80000,Un-Aided,"Trimbak Road,Nashik",80.8,75.6,70,78.6,55,79,yes,120,yes,yes,,4,4.25,,4,
5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",100000,"Un-Aided, Religious Minority - Jain","Post Dondaicha, Dhule, Maharashtra",70,60,70,65,50,55,Yes,60,Yes,Yes,,3,3.25,,2.5,
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",110000,Un-Aided,"Chas, Dist. Ahmednagar, Maharashtra",70,50,60,60,45,55,Yes,120,Yes,Yes,,3,3.25,,2.75,
5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",80000,Un-Aided,"Dondaicha, Maharashtra",75,50,75,65,55,75,Yes,60,Yes,,,,,,,
5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",70000,Un-Aided,"Nepti, Ahmednagar, Maharashtra",80,50,75,65,55,75,Yes,120,Yes,Yes,,3,3.25,,3.25,
5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",85000,Un-Aided,"Nashik, Maharashtra",85,55,75,65,50,65,Yes,120,Yes,Yes,,3.25,3.5,,3.5,
5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",120000,Un-Aided,"North Maharashtra Knowledge City, Jalgaon, Maharashtra",75,60,85,75,65,75,Yes,120,Yes,Yes,,3.5,3.75,,3.5,
5399,"Sanghavi College of Engineering, Varvandi, Nashik.",95000,Un-Aided,"Varvandi, Nashik, Maharashtra",70,50,75,65,55,75,Yes,60,Yes,Yes,,3,3.25,,3,
5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",110000,Un-Aided,"Waghalwadi, Bhote Wadi, Nashik, Maharashtra",80,55,75,65,50,65,Yes,120,Yes,Yes,,3.25,3.5,,3.25,
5408,"Vidya Niketan College of Engineering, Bota Sangamner",80000,Un-Aided,"Bota, Sangamner, Ahmednagar District, Maharashtra",65,45,75,70,55,55,Yes,60,Yes,Yes,,2.75,3,,2.5,
5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",85000,Un-Aided,"Karjule Hariya, Tal. Parner, Dist. Ahmednagar, Maharashtra",70,45,70,65,50,60,Yes,60,Yes,Yes,,3,3.5,,2.5,
5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",2140,"Un-Aided, Religious Minority - Muslim",300,43.5071268,67.740403,43.5071268,,,,yes,120,,yes,,1.9,1.9,,1.5,
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",82000,Un-Aided,420,86.3770498,50.7795069,86.3770498,82.2034564,69.597699,76.2843676,yes,60,yes,yes,,2.15,2,,4,
5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",123553,"Un-Aided, Linguistic Minority - Gujarathi",360,70.6180504,80.149806,70.6180504,,,,yes,45,yes,yes,,2,2.4,,4.95,
5497,"P.G. College of Engineering & Technology, Nandurbar",85000,Un-Aided,240,42.553024,2.9154061,42.5530244),18.7935787,4.8612936,25.3087578,yes,60,yes,Yes,,2.05,2.1,,4,
6004,"Government College of Engineering & Research, Avasari Khurd",24863,Government,360,96.3249371,,96.3249371,96.2787373,93.6308983,96.0680883,yes,60,yes,Yes,,2.05,2.4,,2,
6005,"Government College of Engineering, Karad",2340,"Government, Autonomous",300,,,,,,,yes,120,yes,Yes,,1.95,1.9,,1.5,
6006,COEP Technological University,84250,"University, Autonomous",773,99.9174143,99.3677373,99.9174143,99.8645445,99.2116821,,yes,150,yes,Yes,,2,2.1,,3.9,
6007,"Walchand College of Engineering, Sangli",85520,"Government-Aided, Autonomous",390,99.4594392,,99.4594392,99.3477663,97.5089387,,yes,60,yes,Yes,,2,2,,3.75,
6028,"Department of Technology, Shivaji University, Kolhapur",2370,University Department,,85.4752553,,85.4752553,83.348395,75.1687111,84.4681938,yes,60,yes,Yes,,1.8,1.95,,4.5,
6036,"Government College of Engineering, Kolhapur",25046,Government,300,93.3857089,,93.3857089,92.2256284,90.5447224,92.7209302,yes,60,yes,Yes,,2,2,,3.5,
6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",103800,praivate,480,87.95,56.77,87.95,85.44,82.788,85.99,yes,120,yes,yes,,1.7,2,,3,
6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",56000,praivate,420,78.95,51,78.89,76.88,74,76.88,yes,120,yes,yes,,1.7,1.7,,,
6139,"Progressive Education Society's Modern College of Engineering, Pune",90000,praivate,960,92.47,62.58,92.47,90.344,86.34,90.343,yes,120,yes,yes,,2.1,1.7,,5,
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",2380,"Un-Aided, Autonomous",840,93.4454,51.58,93.4454,93.4454,90,90.343,yes,120,yes,yes,,1.7,1.7,,4.6,
6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",110000,Un-Aided,480,95.342,57.8,95.342,95.342,93,90.343,yes,120,yes,yes,,1.7,2,,4.75,
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",138066,Un-Aided,600,92.47,54,92.47,92.47,93,90.343,yes,120,yes,yes,,1.7,,,5,
6146,"MIT Academy of Engineering,Alandi, Pune",410000,"Un-Aided, Autonomous",780,95.4545,62,95.4545,95.4545,90,90.343,yes,120,yes,yes,,1.7,2,,5,
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",2380,"Un-Aided, Linguistic Minority - Hindi",360,87.55,67,87.55,87.55,92,90.343,yes,120,yes,yes,,1.7,,,5,
6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",169000,"Un-Aided, Autonomous, Linguistic Minority - Hindi",1050,92.47,64,92.47,92.47,91,90.343,yes,120,yes,yes,,1.7,,,5,
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",151805,Un-Aided,540,92,82,92,92,85.344,90.77,yes,180,yes,yes,,2.25,2.25,,5,
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",143000,"Un-Aided, Autonomous","Pimpri, Pune",98.89263,96.0127965,98.89263,98.7673228,96.7141785,98.2750869,yes,240,yes,yes,,1.75,3.5,,4,
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",138066,Un-Aided,"Vadgaon (BK), Pune",94.39918,90.9967846,94.39918,93.3857089,86.1668982,95.1514675,yes,180,yes,yes,,1.95,3.75,,3.25,
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",104566,Un-Aided,"Vadgaon,Pune",91.75,87.113922,91.75,90.69,77.41,92.77,yes,300,yes,yes,,3.75,4,,4.7985,
6179,"Indira College of Engineering & Management, Pune",103458,Un-Aided,"Gat No 276, Tal. Maval, S.NO 64,65, Indira College Road, Parandvadi 410506",88.2852988,80.5662144,88.2852,86.8382436,69.7774101,88.2671548,yes,150,yes,,,3.9,3.8,,3.425,
6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",40000,Un-Aided,450,,,,,,,,,,,,,,,,
6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",119000,Un-Aided,Pimple Jagtap Road Sharad Campus Koregaon Bhima Ta: Shirur Dist: Pune Pincode: 412216,63.54,71.1410813,63.54,61.135,60.7344231,66.96,yes,54,yes,yes,,1.75,1.75,,2,
6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",322000,Private,"Near Khadimachine Chowk, Kondhwa Annexe, Pune 411 048",82.46,77.0282322,82.251586,80.8641005,55.2709127,82.3346823,yes,120,yes,yes,,4.4,4.4,,4,
