Institute code,College Name,Fees,GOVERNMENT/PRIVATE,Location,Computer_ CET_cuttoff ,Computer_JEE_cuttoff ,GENERAL_cuttoff,OBC_cuttoffs,SC/ST_cuttoff,EWS_cuttoffs,Quota(management)(yes/no),Intakes(seats),Placement   (on_campus)(yes/no),college_hostels_available,Academic rating (out of 5),Faculty rating(out of 5),Infrastructure rating (out of 5),accomodation rating (out of 5),Placement rating (out of 5),Overall rating (out of 10)
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",120000,Un-Aided,"Deogiri Campus, Railway Station Road, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005",85.9227307,73.185406,85.9227307,85.1907088,81.5104589,87.7770341,Yes,180,Yes,Yes,,2,1.95,,,
2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",1960,Un-Aided,"Jijau Nagar, Latur Nanded Highway, Post, Vishnupuri, Khupsarwadi, Nanded, Maharashtra 431606",58.7429854,48.8231338,58.7429854,55.4490884,58.0840122,61.6881259,Yes,60,Yes,Yes,,1.7,1.7,,,
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",1100,Un-Aided,"Nanded Bypass Rd, Hingoli Naka, Ambekar Nagar, Nanded-Waghala, Maharashtra 431601",80.2375547,74.0257825,80.2375547,76.839044,61.6881259,86.0109616,Yes,120,Yes,Yes,,2.05,2,,,
2129,"M.S. Bidve Engineering College, Latur",1250,Un-Aided,"Barshi Rd, Pakharsangvi, Latur, Maharashtra 413531",76.7693871,69.1346848,76.7693871,75.1338688,74.1935484,82.869523,Yes,60,Yes,Yes,,2.05,1.95,,,
2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",2900,Un-Aided,"College of Engineering Campus, Solapur Road, Dharashiv (Osmanabad), Maharashtra 413501",65.107535,61.1148493,65.107535,49.6143282,52.7523799,77.7994669,Yes,60,Yes,Yes,,2.05,1.7,,,
2131,"Shree Tuljabhavani College of Engineering, Tuljapur",110000,Un-Aided,"X3XF+PWV, Tuljapur-Naldurg Road, Vivekanand Nagar, Osmanabad, Tuljapur, Maharashtra 413601",54.6979992,82.0912919,54.6979992,24.1305891,52.5567137,58.7124464,Yes,120,Yes,Yes,,2.15,2.25,,,
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",294000,Un-Aided,"Morewadi, District Beed, Ambajogai, Maharashtra 431517
",60.750409,57.8721797,60.750409,49.0455617,55.2985075,65.3263316,Yes,120,Yes,Yes,,2,2,,,
2134,"Peoples Education Society's College of Engineering, Aurangabad",85000,Un-Aided,"Beside, Panchakki Rd, Nagsenvan, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431002",75.35,70.357.8328571,75.3496,73.252683,70.656,79.7413145,yes,60,Yes,Yes,,2.75,3.25,3.5,3.1,
2135,"Hi-Tech Institute of Technology, Aurangabad",180000,Un-Aided,"Hi-Tech Institute Of Technology
P-119, Bajajnagar, Waluj, MIDC, Bajaj Nagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431133",85,77.6899837,85.1488129,80.6210251,78.5775598,86.3437564,Yes,180,Yes,Yes,,1.95,1.9,2,2.3,
2136,"Aditya Engineering College , Beed",196000,Un-Aided,"Beed telgao naka, Bid Rural, Maharashtra 431122",80.845414,74.32441,80.254789,76.15794,70.32854,79.2489,Yes,120,Yes,Yes,,3.25,3.5,3,3.1,
2137,"Nagnathappa Halge Engineering College, Parli, Beed",250000,Un-Aided,"Brahmawadi,Post -Tokwadi, Parli V. Parli-Beed State Highway, PARLI-VAIJNATH, Dist. BEED, Kanherwadi, Parli Vaijnath, Bramhawadi, Maharashtra 431515",85,72.67,74.8,65.04,44.48,69.7,Yes,120,Yes,Yes,,4.5,3.5,3.5,4.5,
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",80000,Un-Aided,"Matsyodari Shikshan Sanstha's,
COLLEGE OF ENGINEERING AND TECHNOLOGY,
Nagewadi, Aurangabad Jalna Road, JALNA - 431203
Maharashtra (INDIA)",79.5681,80.1582,78.25897,77.14896,75.48794,79.48961,No,120,Yes,Yes,,2.75,3.4,3.4,3,
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",230000,Un-Aided,"Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology, Administrative Building Shripatrao Bhosale High School, Tambri Vibhag, Osmanabad, Pincode-413501, Maharashtra, India",56.7812,60.83247,62.1784,61.72469,55.1247,63.1579,Yes,60,Yes,Yes,,2.25,3.5,2.44,3.1,
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",150000,Un-Aided,"Gut No 52, Tuljapur Shivar, Harsul, road, M.S, Naigaon, Sawangi, Maharashtra
Map of aurangabad college of engineering",70,75,68.5248,66.494417,62.1245,70.8546,No,120,Yes,Yes,,3,3.25,2.5,2.2,
2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",90740,Un-Aided,"Vasmat Road, NH 222, Shivaji Engineering College, Parbhani, Maharashtra 431401",56.7650589,70,61.75214,45.6704109,32.4992712,62.3799839,No,180,Yes,Yes,,2.75,3,2.3,2.25,
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",15800,Un-Aided,"MIDC, Educity, Additional, Barshi - Latur Hwy, Latur, Maharashtra 413531",59.4192464,60,67.4824177,66.2395008,42.020457,67.1125395,No,80,es,Yes,,2.5,2.5,1.9,1.95,
2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",45000,Un-Aided,"Beed telgao naka, Bid Rural, Maharashtra 431122",32.2621925,35.852441,34.27551,25.7906003,20.3613489,45.9884082,Yes,180,Yes,Yes,,2,1.75,2,2.3,
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,24000,Un-Aided,"Trimurti Nagar, Nanded-Waghala, Maharashtra 431603",57.6946774,60.85275,57.9292585,41.4815869,38.5667023,58.8111371,Yes,180,Yes,Yes,,2.05,2,2.4,2.15,
2516,International Centre Of Excellence In Engineering and Management (ICEEM),1860,Private ,"CIDCO Mahanagar, Opp MIDC-Waluj Water Treatment Plant, Pandharpur, Maharashtra 431136",54.12,41.1843805,52.25,45.91,27.33,,Yes,120,Yes,Yes,,2,2,,4,
2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",88500,Private," CJHW+72Q, Kolpa, Nanded Rod, Latur, Maharashtra 413512",47.76,70.4347473,47.76,29.33,21.23,,Yes,60,Yes,Yes,,2.5,2.2,,3.5,
2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",90000,Private,"Paithan Rd, Kanchanwadi, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001",79.33,74.6945417,79.33,73.57,65.72,,Yes,180,Yes,Yes,,2.3,2.25,,4.6,
2641,Dr. V.K. Patil College of Engineering & Technology,1060,Private,"5MJQ+GW3, MIDC, Vilad Ghat, Ahmednagar, maharastra 414111",69.6,36.8705272,69.6,66.56,45.12,68.78,Yes,90,Yes,Yes,,1.9,1.95,,3.5,
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",3300,Autonomous,"Ha. Ra. maharani marga, matunga purva, mumbai, maharastra 400019",96.9302413,98,96.9302413,96.0136674,90.5879529,,Yes,60,Yes,No,,1.9,1.7,,4.1,
3014,"Sardar Patel College of Engineering, Andheri",1010,Government,"Bhavan's Campus, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058",NaN,,,,,,,,,,,,,,0,
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",60000,Private," IIEC, Dr. Babasaheb Ambedkar Technological University, Lonere, Maharashtra 402103",28.1605922,88,28.1605922,8.5951196,,14.2356611,Yes,180,Yes,Yes,,2.05,2,,3.9,
3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",4680,Private,"3RPJ+H5Q, Juhu-Tara Road, Sir Vitthaldas Vidyavihar, Santacruz(W), Mumbai, Maharashtra 400049",89.4839384,74,89.4839384,84.6811929,76.2706983,86.5823024,Yes,60,Yes,Yes,,2,1.95,,3.6,
3036,"Institute of Chemical Technology, Matunga, Mumbai",150000,Government,"2VF4+GX4, Nathalal Parekh Marg, near Khalsa College, Matunga East, Mumbai, Maharashtra 400019",NaN,,,,,,,,,Yes,,,,,0,
3042,"Government College of Engineering, Ratnagiri",24701,Government,"Abhyudhya Nagar, Ratnagiri, Maharashtra 415612",NaN,,,,,,Yes,,Yes,Yes,,3.6,3.75,,0,
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",97175, Un-Aided,"Basement, 4RCF+GF5 MCT's, Rajiv Gandhi Institute of Technology, Juhu Versova Link Rd, behind HDFC Bank, Gharkul Society, Bharat Nagar, Versova, Andheri West, Mumbai, Maharashtra 400053",95.8405342,89.9782308,93.8586283,93.4050233,89.3951296,93.5395473,Yes,120,Yes,No,,1.65,1.65,,0,
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",5450,"Un-Aided, Autonomous","Vidyalankar Educational Campus, Vidyalankar College Rd, Wadala East, Sangam Nagar, Antop Hill, Mumbai, Maharashtra 400037",97.1424274,93.051632,97.1424274,96.6445326,94.6808113,96.5461326,Yes,180,Yes,Yes,,2.15,2.1,,0,
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",270000,Un-Aided," 23J6+6JC, Sector 4, Kharghar, Navi Mumbai, Maharashtra 410210",89.9583318,76.8200435,89.9583318,83.348395,76.8406961,85.9227307,Yes,60,Yes,No,,1.6,1.65,,3.4,
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",80500,Un-Aided,"Bhivpuri Road Railway Station, Nasrapur, Chandhai, Karjat, Maharashtra 410201",71.400082,59.5117092,71.4000828),70.2813361,70.5106049,80500,Yes,60,Yes,Yes,,1.2,1.35,,0,
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",151000,"Un-Aided, Linguistic Minority - Gujarathi(Jain)","720Mahavir Education Trust Chowk, W.T Patil Marg, D P Rd, next to Duke's Company, Chembur, Mumbai, Maharashtra 400088",85,88.5333909,86.5566392),93.5868331,75.3496766,95.1514675)],Yes,180,Yes,Yes,,1.9,1.9,,0,
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",1150,Un-Aided,"600 Plot No. 46, near MSEB Sub Station, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210",85,77.6899837,85.1488129,80.6210251,78.5775598,86.3437564,Yes,60,Yes,No,,2.15,2,,0,
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",150000,Un-Aided,"Plot No. 1, 2, Sion - Panvel Expressway, Sector 18, Kamothe, Navi Mumbai, Maharashtra 410209",85,78.8042854,84.9532361,83.3890161,75.867353,83.3890161,Yes,120,Yes,Yes,,1.85,1.85,,0,
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",170086,"Un-Aided, Autonomous, Linguistic Minority - Hindi","TCET, A-Block, Gate No 5, Thakur Educational Campus, Thakur Rd, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",85,94.0913251,97.5673034,,,,Yes,60,Yes,Yes,,2.2,2.2,,0,
