,college_name,max,min,mean,fess,rating,public/private
50,"Vidyavardhini's College of Engineering and Technology, Vasai",96.9378449,94.1818526,95.53948109,67000,7,0.0
51,"Atharva College of Engineering,Malad(West),Mumbai",96.1905225,94.0838243,94.8163126,34000,8,0.0
52,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",94.9790794,94.0029697,94.4631223,56000,5,0.0
53,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",95.3875689,93.9121803,94.6498746,34000,4,0.0
54,"Nutan Maharashtra Vidya Prasarak Mandal , Nutan Maharashtra Institute of Engineering & Technology , Talegaon station , Pune",95.9583037,93.7421047,95.1712353,56000,7,0.0
55,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",96.7743504,93.4748809,94.05030806,12000,7,0.0
56,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",97.2807517,93.4206172,94.2579303,23000,4,0.0
57,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",93.7701957,93.2859511,93.5280734,230000,4,0.0
58,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",94.6495249,93.0830039,93.50019549,670000,6,0.0
59,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",95.4571374,92.9996682,93.95891692,78000,5,
60,"Bajaj Institute of Technology, Wardha",95.1190305,92.5996204,93.95318088,34000,3,0.0
61,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",94.9538024,92.4735769,94.02476803,56000,7,0.0
62,"R. C. Patel Institute of Technology, Shirpur",95.95134,92.2149174,93.56938409,180000,3,0.0
63,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",93.8419335,92.2149174,93.10202062,78000,2,0.0
64,Ajeenkya DY Patil School of Engineering,94.4073178,91.973466,92.85556912,90000,3,0.0
65,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",95.299692,91.9702423,93.15890563,90000,7,0.0
66,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",94.0594995,91.8979281,92.60851242,89000,8,0.0
67,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",95.3293762,91.8235378,93.12017043,67000,6,0.0
68,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",92.4735769,91.586273,92.13114003,23000,5,0.0
69,"Government College of Engineering, Jalgaon",95.7744481,91.5409302,93.4661274,14000,7,1.0
70,"A. P. Shah Institute of Technology, Thane",95.1073753,91.4874509,93.02979997,45000,5,0.0
71,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",93.7141189,91.0917582,92.92867152,78000,7,0.0
72,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",95.3388605,91.0917582,93.67651428,67000,5,0.0
73,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",94.0838243,90.8511759,91.95777503,56000,6,0.0
74,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",92.5142196,90.8078665,91.7831403,120000,7,0.0
75,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",94.6205981,90.6976744,92.46345183,160000,5,0.0
76,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",93.5685145,90.5561883,91.9979957,34000,6,0.0
77,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",93.8349561,90.4382847,91.55206018,89000,5,0.0
78,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",91.0466821,90.2973471,90.63340583,78000,6,0.0
79,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",93.7141189,90.269681,91.44454313,78000,5,0.0
80,"Indira College of Engineering & Management, Pune",93.1886737,89.9502487,91.58322417,45000,8,1.0
81,"NBN Sinhgad Technical Institutes Campus, Pune",92.6510305,89.9192371,91.01120888,140000,6,0.0
82,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",91.1115395,89.629736,90.53081713,30000,5,0.0
83,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",92.9996682,89.5056923,90.76795942,120000,4,0.0
84,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",91.8375279,89.0980466,90.02200307,150000,6,0.0
85,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",92.7152945,89.0325033,90.8738989,160000,5,0.0
86,"Government College of Engineering,Yavatmal",91.4761117,89.0325033,90.01625577,34000,5,1.0
87,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",93.8196123,88.9608831,90.63031898,125000,6,0.0
88,ISBM College Of Engineering Pune,93.833017,88.8543387,91.18686822,150000,7,0.0
89,"Sinhagad Institute of Technology, Lonavala",95.6029376,88.4908068,90.32808886,340000,8,0.0
90,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",93.5731551,88.4671878,89.70224133,140000,8,0.0
91,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",93.1330675,88.3304859,90.42645527,56000,8,0.0
92,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",91.8555998,88.1677532,89.56572484,34000,8,0.0
93,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",89.5284491,88.0563059,88.44409326,23000,6,0.0
94,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",89.2748671,87.6520385,88.50743247,45000,7,0.0
95,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",97.2814036,87.6299679,91.48663711,34000,5,0.0
96,"Pune District Education  Association's College of Engineering, Pune",90.6908949,87.6299679,89.32642568,120000,4,0.0
97,"Dr. Babasaheb Ambedkar Technological University, Lonere",93.9573805,87.6060476,91.5274647,180000,5,0.0
98,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",91.2460306,87.5451435,89.13730747,150000,6,0.0
